nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-074525
iter 00001 | success 0.016 | policy_loss 0.01460 | value_loss 9177.16162 | Vmean -0.017 | Rmean 61.530 | Vrmse 135.566 | VexpVar -0.000 | adv_std 120.790 | elapsed 29.79s
iter 00230 | success 0.615 | policy_loss -0.00009 | value_loss 2406.14932 | Vmean -197.256 | Rmean -199.323 | Vrmse 68.535 | VexpVar 0.825 | adv_std 68.504 | elapsed 30.88s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_230.pt
iter 00231 | success 0.597 | policy_loss -0.00001 | value_loss 2454.87984 | Vmean -191.331 | Rmean -196.818 | Vrmse 69.264 | VexpVar 0.825 | adv_std 69.046 | elapsed 35.93s
iter 00232 | success 0.609 | policy_loss -0.00007 | value_loss 2438.26286 | Vmean -195.515 | Rmean -199.914 | Vrmse 69.082 | VexpVar 0.820 | adv_std 68.942 | elapsed 32.46s
iter 00233 | success 0.600 | policy_loss -0.00006 | value_loss 2447.98929 | Vmean -194.753 | Rmean -199.514 | Vrmse 69.611 | VexpVar 0.819 | adv_std 69.448 | elapsed 31.68s
iter 00234 | success 0.611 | policy_loss -0.00002 | value_loss 2361.31660 | Vmean -197.960 | Rmean -201.683 | Vrmse 68.422 | VexpVar 0.821 | adv_std 68.321 | elapsed 30.79s
iter 00235 | success 0.608 | policy_loss -0.00002 | value_loss 2444.35944 | Vmean -194.546 | Rmean -198.761 | Vrmse 69.431 | VexpVar 0.821 | adv_std 69.303 | elapsed 33.55s
iter 00236 | success 0.604 | policy_loss -0.00001 | value_loss 2421.73734 | Vmean -194.853 | Rmean -198.416 | Vrmse 68.999 | VexpVar 0.824 | adv_std 68.907 | elapsed 34.54s
iter 00237 | success 0.606 | policy_loss -0.00006 | value_loss 2390.24408 | Vmean -195.018 | Rmean -197.987 | Vrmse 68.848 | VexpVar 0.826 | adv_std 68.784 | elapsed 33.89s
iter 00238 | success 0.609 | policy_loss -0.00015 | value_loss 2305.67322 | Vmean -195.455 | Rmean -199.312 | Vrmse 67.570 | VexpVar 0.828 | adv_std 67.460 | elapsed 31.67s
iter 00239 | success 0.590 | policy_loss -0.00004 | value_loss 2386.83075 | Vmean -195.680 | Rmean -200.160 | Vrmse 68.129 | VexpVar 0.827 | adv_std 67.981 | elapsed 33.42s
iter 00240 | success 0.598 | policy_loss -0.00005 | value_loss 2431.68947 | Vmean -200.911 | Rmean -201.416 | Vrmse 69.235 | VexpVar 0.818 | adv_std 69.233 | elapsed 31.96s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_240.pt
iter 00241 | success 0.612 | policy_loss -0.00005 | value_loss 2332.48283 | Vmean -202.497 | Rmean -203.323 | Vrmse 67.977 | VexpVar 0.822 | adv_std 67.972 | elapsed 36.53s
iter 00242 | success 0.620 | policy_loss -0.00010 | value_loss 2298.78433 | Vmean -200.384 | Rmean -202.138 | Vrmse 67.522 | VexpVar 0.824 | adv_std 67.500 | elapsed 34.73s
iter 00243 | success 0.612 | policy_loss -0.00009 | value_loss 2370.73961 | Vmean -200.316 | Rmean -202.397 | Vrmse 67.984 | VexpVar 0.822 | adv_std 67.952 | elapsed 33.62s
iter 00244 | success 0.606 | policy_loss -0.00009 | value_loss 2441.42976 | Vmean -204.296 | Rmean -203.930 | Vrmse 68.989 | VexpVar 0.817 | adv_std 68.988 | elapsed 36.90s
iter 00245 | success 0.612 | policy_loss -0.00003 | value_loss 2392.32352 | Vmean -206.410 | Rmean -206.400 | Vrmse 68.592 | VexpVar 0.814 | adv_std 68.592 | elapsed 38.21s
iter 00246 | success 0.598 | policy_loss -0.00007 | value_loss 2431.84721 | Vmean -202.450 | Rmean -203.960 | Vrmse 69.109 | VexpVar 0.815 | adv_std 69.092 | elapsed 35.37s
iter 00247 | success 0.610 | policy_loss -0.00008 | value_loss 2384.51613 | Vmean -204.290 | Rmean -203.995 | Vrmse 68.617 | VexpVar 0.818 | adv_std 68.616 | elapsed 35.68s
iter 00248 | success 0.605 | policy_loss -0.00004 | value_loss 2456.62341 | Vmean -207.071 | Rmean -205.489 | Vrmse 68.948 | VexpVar 0.815 | adv_std 68.930 | elapsed 35.54s
iter 00249 | success 0.609 | policy_loss -0.00006 | value_loss 2387.28725 | Vmean -201.345 | Rmean -205.361 | Vrmse 67.997 | VexpVar 0.818 | adv_std 67.878 | elapsed 31.05s
iter 00250 | success 0.605 | policy_loss -0.00005 | value_loss 2419.52486 | Vmean -200.201 | Rmean -202.724 | Vrmse 68.513 | VexpVar 0.821 | adv_std 68.467 | elapsed 33.47s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_250.pt
iter 00251 | success 0.628 | policy_loss -0.00006 | value_loss 2313.50313 | Vmean -204.447 | Rmean -205.803 | Vrmse 67.103 | VexpVar 0.822 | adv_std 67.090 | elapsed 38.64s
iter 00252 | success 0.610 | policy_loss -0.00011 | value_loss 2367.20863 | Vmean -205.007 | Rmean -205.570 | Vrmse 68.188 | VexpVar 0.818 | adv_std 68.186 | elapsed 36.99s
iter 00253 | success 0.627 | policy_loss -0.00005 | value_loss 2252.25951 | Vmean -206.914 | Rmean -208.951 | Vrmse 66.736 | VexpVar 0.819 | adv_std 66.705 | elapsed 33.94s
iter 00254 | success 0.610 | policy_loss -0.00007 | value_loss 2391.98714 | Vmean -208.222 | Rmean -208.018 | Vrmse 68.596 | VexpVar 0.814 | adv_std 68.596 | elapsed 37.72s
iter 00255 | success 0.598 | policy_loss -0.00005 | value_loss 2390.11418 | Vmean -208.963 | Rmean -208.163 | Vrmse 68.848 | VexpVar 0.813 | adv_std 68.844 | elapsed 32.14s
iter 00256 | success 0.610 | policy_loss -0.00006 | value_loss 2362.87383 | Vmean -207.303 | Rmean -208.091 | Vrmse 68.285 | VexpVar 0.814 | adv_std 68.281 | elapsed 31.20s
iter 00257 | success 0.624 | policy_loss -0.00009 | value_loss 2296.41032 | Vmean -209.245 | Rmean -209.992 | Vrmse 67.402 | VexpVar 0.814 | adv_std 67.398 | elapsed 31.42s
iter 00258 | success 0.608 | policy_loss -0.00012 | value_loss 2380.13776 | Vmean -209.796 | Rmean -209.385 | Vrmse 68.404 | VexpVar 0.812 | adv_std 68.403 | elapsed 35.00s
iter 00259 | success 0.609 | policy_loss -0.00010 | value_loss 2430.63313 | Vmean -209.627 | Rmean -210.100 | Vrmse 68.228 | VexpVar 0.811 | adv_std 68.226 | elapsed 30.64s
iter 00260 | success 0.602 | policy_loss -0.00004 | value_loss 2405.17535 | Vmean -211.838 | Rmean -210.993 | Vrmse 68.686 | VexpVar 0.807 | adv_std 68.681 | elapsed 30.69s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_260.pt
iter 00261 | success 0.622 | policy_loss -0.00009 | value_loss 2346.99841 | Vmean -209.952 | Rmean -210.096 | Vrmse 68.110 | VexpVar 0.812 | adv_std 68.110 | elapsed 34.29s
iter 00262 | success 0.605 | policy_loss -0.00003 | value_loss 2357.12872 | Vmean -208.695 | Rmean -210.782 | Vrmse 67.894 | VexpVar 0.811 | adv_std 67.862 | elapsed 32.84s
iter 00263 | success 0.611 | policy_loss -0.00008 | value_loss 2350.30812 | Vmean -205.727 | Rmean -210.319 | Vrmse 67.984 | VexpVar 0.810 | adv_std 67.829 | elapsed 31.89s
iter 00264 | success 0.624 | policy_loss -0.00005 | value_loss 2319.33582 | Vmean -207.534 | Rmean -210.698 | Vrmse 67.282 | VexpVar 0.810 | adv_std 67.208 | elapsed 30.98s
iter 00265 | success 0.623 | policy_loss -0.00007 | value_loss 2306.81427 | Vmean -208.495 | Rmean -211.679 | Vrmse 67.456 | VexpVar 0.806 | adv_std 67.381 | elapsed 36.20s
iter 00266 | success 0.618 | policy_loss -0.00009 | value_loss 2270.67365 | Vmean -209.824 | Rmean -212.523 | Vrmse 66.951 | VexpVar 0.808 | adv_std 66.896 | elapsed 35.37s
iter 00267 | success 0.632 | policy_loss -0.00007 | value_loss 2253.34134 | Vmean -207.171 | Rmean -211.382 | Vrmse 66.543 | VexpVar 0.809 | adv_std 66.409 | elapsed 32.05s
iter 00268 | success 0.610 | policy_loss -0.00008 | value_loss 2358.52113 | Vmean -207.531 | Rmean -210.115 | Vrmse 68.151 | VexpVar 0.806 | adv_std 68.102 | elapsed 30.89s
iter 00269 | success 0.629 | policy_loss -0.00008 | value_loss 2221.80411 | Vmean -214.676 | Rmean -214.737 | Vrmse 66.269 | VexpVar 0.805 | adv_std 66.269 | elapsed 36.23s
iter 00270 | success 0.618 | policy_loss -0.00007 | value_loss 2294.25252 | Vmean -212.277 | Rmean -212.544 | Vrmse 67.402 | VexpVar 0.804 | adv_std 67.402 | elapsed 36.46s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_270.pt
iter 00271 | success 0.623 | policy_loss -0.00007 | value_loss 2261.41965 | Vmean -213.908 | Rmean -214.401 | Vrmse 66.882 | VexpVar 0.802 | adv_std 66.880 | elapsed 37.98s
iter 00272 | success 0.621 | policy_loss -0.00007 | value_loss 2343.47888 | Vmean -215.278 | Rmean -214.054 | Vrmse 68.027 | VexpVar 0.799 | adv_std 68.016 | elapsed 37.73s
iter 00273 | success 0.625 | policy_loss -0.00006 | value_loss 2304.72443 | Vmean -218.650 | Rmean -216.242 | Vrmse 67.495 | VexpVar 0.798 | adv_std 67.452 | elapsed 31.43s
iter 00274 | success 0.606 | policy_loss -0.00003 | value_loss 2397.91031 | Vmean -216.535 | Rmean -213.841 | Vrmse 68.890 | VexpVar 0.796 | adv_std 68.837 | elapsed 32.73s
iter 00275 | success 0.623 | policy_loss -0.00006 | value_loss 2375.14618 | Vmean -218.173 | Rmean -215.450 | Vrmse 68.374 | VexpVar 0.795 | adv_std 68.319 | elapsed 31.65s
iter 00276 | success 0.616 | policy_loss -0.00006 | value_loss 2435.07269 | Vmean -217.285 | Rmean -215.134 | Vrmse 69.096 | VexpVar 0.791 | adv_std 69.063 | elapsed 31.45s
iter 00277 | success 0.626 | policy_loss -0.00010 | value_loss 2339.11868 | Vmean -215.681 | Rmean -214.842 | Vrmse 67.987 | VexpVar 0.795 | adv_std 67.982 | elapsed 34.51s
iter 00278 | success 0.627 | policy_loss 0.00003 | value_loss 2334.96075 | Vmean -217.341 | Rmean -215.600 | Vrmse 67.506 | VexpVar 0.798 | adv_std 67.483 | elapsed 31.90s
iter 00279 | success 0.628 | policy_loss -0.00008 | value_loss 2328.65254 | Vmean -214.826 | Rmean -215.667 | Vrmse 67.719 | VexpVar 0.796 | adv_std 67.714 | elapsed 34.61s
iter 00280 | success 0.626 | policy_loss -0.00007 | value_loss 2231.87491 | Vmean -216.394 | Rmean -216.222 | Vrmse 66.389 | VexpVar 0.800 | adv_std 66.389 | elapsed 35.63s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_280.pt
iter 00281 | success 0.615 | policy_loss -0.00008 | value_loss 2256.82117 | Vmean -217.488 | Rmean -216.297 | Vrmse 66.757 | VexpVar 0.800 | adv_std 66.746 | elapsed 37.21s
iter 00282 | success 0.614 | policy_loss -0.00008 | value_loss 2300.33484 | Vmean -216.564 | Rmean -215.387 | Vrmse 67.429 | VexpVar 0.799 | adv_std 67.419 | elapsed 36.80s
iter 00283 | success 0.612 | policy_loss -0.00008 | value_loss 2393.17160 | Vmean -213.184 | Rmean -213.375 | Vrmse 68.617 | VexpVar 0.795 | adv_std 68.617 | elapsed 35.20s
iter 00284 | success 0.627 | policy_loss -0.00001 | value_loss 2290.10387 | Vmean -216.990 | Rmean -216.411 | Vrmse 67.244 | VexpVar 0.794 | adv_std 67.241 | elapsed 30.87s
iter 00285 | success 0.622 | policy_loss -0.00006 | value_loss 2310.82001 | Vmean -215.081 | Rmean -215.952 | Vrmse 67.586 | VexpVar 0.792 | adv_std 67.580 | elapsed 29.47s
iter 00286 | success 0.616 | policy_loss -0.00010 | value_loss 2459.75505 | Vmean -218.491 | Rmean -215.332 | Vrmse 69.314 | VexpVar 0.787 | adv_std 69.242 | elapsed 31.01s
iter 00287 | success 0.611 | policy_loss -0.00007 | value_loss 2529.11488 | Vmean -218.095 | Rmean -217.015 | Vrmse 70.032 | VexpVar 0.779 | adv_std 70.024 | elapsed 33.40s
iter 00288 | success 0.628 | policy_loss -0.00001 | value_loss 2451.19212 | Vmean -220.104 | Rmean -219.023 | Vrmse 69.233 | VexpVar 0.776 | adv_std 69.225 | elapsed 32.93s
iter 00289 | success 0.620 | policy_loss -0.00006 | value_loss 2379.87677 | Vmean -220.875 | Rmean -218.453 | Vrmse 68.464 | VexpVar 0.783 | adv_std 68.421 | elapsed 33.03s
iter 00290 | success 0.632 | policy_loss -0.00005 | value_loss 2376.97337 | Vmean -219.413 | Rmean -218.082 | Vrmse 68.179 | VexpVar 0.784 | adv_std 68.166 | elapsed 30.76s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_290.pt
iter 00291 | success 0.628 | policy_loss -0.00008 | value_loss 2371.60062 | Vmean -219.335 | Rmean -218.516 | Vrmse 68.519 | VexpVar 0.781 | adv_std 68.514 | elapsed 34.46s
iter 00292 | success 0.605 | policy_loss -0.00007 | value_loss 2559.27045 | Vmean -221.688 | Rmean -217.719 | Vrmse 71.001 | VexpVar 0.772 | adv_std 70.890 | elapsed 28.41s
iter 00293 | success 0.629 | policy_loss 0.00000 | value_loss 2379.66859 | Vmean -220.527 | Rmean -218.686 | Vrmse 68.283 | VexpVar 0.782 | adv_std 68.258 | elapsed 26.77s
iter 00294 | success 0.620 | policy_loss -0.00002 | value_loss 2446.82008 | Vmean -218.120 | Rmean -217.302 | Vrmse 69.415 | VexpVar 0.779 | adv_std 69.411 | elapsed 30.10s
iter 00295 | success 0.628 | policy_loss -0.00004 | value_loss 2318.95128 | Vmean -217.479 | Rmean -218.046 | Vrmse 67.642 | VexpVar 0.787 | adv_std 67.639 | elapsed 28.53s
iter 00296 | success 0.625 | policy_loss -0.00003 | value_loss 2274.47249 | Vmean -221.592 | Rmean -219.579 | Vrmse 67.087 | VexpVar 0.786 | adv_std 67.057 | elapsed 31.35s
iter 00297 | success 0.623 | policy_loss -0.00010 | value_loss 2234.02533 | Vmean -219.918 | Rmean -218.030 | Vrmse 66.396 | VexpVar 0.796 | adv_std 66.369 | elapsed 31.60s
iter 00298 | success 0.629 | policy_loss -0.00007 | value_loss 2256.80820 | Vmean -221.988 | Rmean -218.819 | Vrmse 66.614 | VexpVar 0.793 | adv_std 66.539 | elapsed 32.60s
iter 00299 | success 0.605 | policy_loss -0.00004 | value_loss 2373.25606 | Vmean -218.281 | Rmean -217.828 | Vrmse 68.507 | VexpVar 0.786 | adv_std 68.506 | elapsed 30.33s
iter 00300 | success 0.609 | policy_loss -0.00014 | value_loss 2331.51442 | Vmean -217.838 | Rmean -218.036 | Vrmse 67.932 | VexpVar 0.788 | adv_std 67.932 | elapsed 29.22s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_300.pt
iter 00301 | success 0.614 | policy_loss -0.00001 | value_loss 2274.80925 | Vmean -220.928 | Rmean -219.237 | Vrmse 67.105 | VexpVar 0.789 | adv_std 67.083 | elapsed 31.32s
iter 00302 | success 0.617 | policy_loss -0.00009 | value_loss 2261.31163 | Vmean -219.353 | Rmean -218.871 | Vrmse 66.920 | VexpVar 0.788 | adv_std 66.918 | elapsed 31.79s
iter 00303 | success 0.615 | policy_loss -0.00016 | value_loss 2322.63080 | Vmean -220.388 | Rmean -219.644 | Vrmse 67.607 | VexpVar 0.784 | adv_std 67.603 | elapsed 32.16s
iter 00304 | success 0.623 | policy_loss -0.00007 | value_loss 2232.39259 | Vmean -222.648 | Rmean -219.740 | Vrmse 66.208 | VexpVar 0.793 | adv_std 66.145 | elapsed 31.21s
iter 00305 | success 0.629 | policy_loss -0.00008 | value_loss 2231.34724 | Vmean -221.416 | Rmean -218.684 | Vrmse 65.808 | VexpVar 0.796 | adv_std 65.751 | elapsed 34.62s
iter 00306 | success 0.614 | policy_loss -0.00006 | value_loss 2235.67619 | Vmean -222.514 | Rmean -218.810 | Vrmse 66.098 | VexpVar 0.798 | adv_std 65.994 | elapsed 33.84s
iter 00307 | success 0.632 | policy_loss -0.00016 | value_loss 2211.55646 | Vmean -222.320 | Rmean -219.551 | Vrmse 66.045 | VexpVar 0.793 | adv_std 65.987 | elapsed 33.95s
iter 00308 | success 0.632 | policy_loss -0.00006 | value_loss 2219.58243 | Vmean -224.977 | Rmean -220.584 | Vrmse 66.178 | VexpVar 0.793 | adv_std 66.032 | elapsed 33.14s
iter 00309 | success 0.623 | policy_loss -0.00003 | value_loss 2288.78696 | Vmean -224.589 | Rmean -220.277 | Vrmse 67.157 | VexpVar 0.788 | adv_std 67.018 | elapsed 33.14s
iter 00310 | success 0.615 | policy_loss -0.00004 | value_loss 2320.19012 | Vmean -222.403 | Rmean -218.779 | Vrmse 66.877 | VexpVar 0.794 | adv_std 66.779 | elapsed 33.17s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_310.pt
iter 00311 | success 0.630 | policy_loss -0.00005 | value_loss 2247.29730 | Vmean -222.019 | Rmean -218.747 | Vrmse 65.415 | VexpVar 0.801 | adv_std 65.333 | elapsed 35.85s
iter 00312 | success 0.619 | policy_loss -0.00003 | value_loss 2286.41545 | Vmean -224.024 | Rmean -219.862 | Vrmse 67.271 | VexpVar 0.790 | adv_std 67.142 | elapsed 34.15s
iter 00313 | success 0.618 | policy_loss 0.00003 | value_loss 2294.77740 | Vmean -225.171 | Rmean -220.455 | Vrmse 67.037 | VexpVar 0.790 | adv_std 66.871 | elapsed 33.10s
iter 00314 | success 0.613 | policy_loss -0.00010 | value_loss 2306.18152 | Vmean -223.224 | Rmean -219.305 | Vrmse 67.500 | VexpVar 0.791 | adv_std 67.386 | elapsed 33.32s
iter 00315 | success 0.621 | policy_loss -0.00013 | value_loss 2241.76361 | Vmean -219.632 | Rmean -219.043 | Vrmse 66.491 | VexpVar 0.793 | adv_std 66.489 | elapsed 33.26s
iter 00316 | success 0.622 | policy_loss -0.00001 | value_loss 2284.58653 | Vmean -221.166 | Rmean -219.570 | Vrmse 67.242 | VexpVar 0.789 | adv_std 67.223 | elapsed 33.69s
iter 00317 | success 0.624 | policy_loss -0.00008 | value_loss 2251.85573 | Vmean -223.179 | Rmean -219.726 | Vrmse 66.714 | VexpVar 0.790 | adv_std 66.625 | elapsed 34.03s
iter 00318 | success 0.635 | policy_loss -0.00011 | value_loss 2243.34306 | Vmean -223.592 | Rmean -220.322 | Vrmse 66.640 | VexpVar 0.788 | adv_std 66.559 | elapsed 34.58s
iter 00319 | success 0.627 | policy_loss -0.00010 | value_loss 2256.45378 | Vmean -225.954 | Rmean -221.440 | Vrmse 66.609 | VexpVar 0.787 | adv_std 66.456 | elapsed 33.86s
iter 00320 | success 0.632 | policy_loss -0.00008 | value_loss 2183.01105 | Vmean -225.348 | Rmean -221.643 | Vrmse 65.184 | VexpVar 0.793 | adv_std 65.079 | elapsed 33.57s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_320.pt
iter 00321 | success 0.645 | policy_loss -0.00006 | value_loss 2123.27794 | Vmean -224.256 | Rmean -222.006 | Vrmse 64.723 | VexpVar 0.794 | adv_std 64.684 | elapsed 35.98s
iter 00322 | success 0.629 | policy_loss -0.00000 | value_loss 2243.06091 | Vmean -227.954 | Rmean -222.238 | Vrmse 65.977 | VexpVar 0.788 | adv_std 65.729 | elapsed 34.25s
iter 00323 | success 0.625 | policy_loss -0.00004 | value_loss 2208.52357 | Vmean -225.463 | Rmean -220.256 | Vrmse 65.316 | VexpVar 0.800 | adv_std 65.108 | elapsed 34.66s
iter 00324 | success 0.627 | policy_loss -0.00009 | value_loss 2142.51556 | Vmean -219.241 | Rmean -219.566 | Vrmse 64.368 | VexpVar 0.805 | adv_std 64.367 | elapsed 32.69s
iter 00325 | success 0.635 | policy_loss -0.00003 | value_loss 2077.77850 | Vmean -219.135 | Rmean -219.280 | Vrmse 63.510 | VexpVar 0.810 | adv_std 63.510 | elapsed 32.62s
iter 00326 | success 0.624 | policy_loss -0.00015 | value_loss 2047.32452 | Vmean -219.061 | Rmean -219.547 | Vrmse 63.433 | VexpVar 0.810 | adv_std 63.431 | elapsed 32.39s
iter 00327 | success 0.637 | policy_loss -0.00003 | value_loss 2005.59531 | Vmean -217.920 | Rmean -219.504 | Vrmse 62.814 | VexpVar 0.812 | adv_std 62.794 | elapsed 33.04s
iter 00328 | success 0.613 | policy_loss -0.00000 | value_loss 2127.56659 | Vmean -218.785 | Rmean -218.723 | Vrmse 63.830 | VexpVar 0.810 | adv_std 63.830 | elapsed 34.37s
iter 00329 | success 0.625 | policy_loss -0.00002 | value_loss 2117.76884 | Vmean -219.532 | Rmean -219.695 | Vrmse 63.814 | VexpVar 0.806 | adv_std 63.814 | elapsed 34.46s
iter 00330 | success 0.639 | policy_loss -0.00005 | value_loss 2086.96826 | Vmean -220.742 | Rmean -220.693 | Vrmse 63.412 | VexpVar 0.804 | adv_std 63.412 | elapsed 33.77s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_330.pt
iter 00331 | success 0.639 | policy_loss -0.00007 | value_loss 2077.58667 | Vmean -220.233 | Rmean -220.813 | Vrmse 63.285 | VexpVar 0.805 | adv_std 63.282 | elapsed 34.01s
iter 00332 | success 0.638 | policy_loss -0.00014 | value_loss 2107.66558 | Vmean -219.565 | Rmean -220.818 | Vrmse 63.769 | VexpVar 0.800 | adv_std 63.757 | elapsed 31.24s
iter 00333 | success 0.628 | policy_loss -0.00008 | value_loss 2107.00199 | Vmean -219.894 | Rmean -221.274 | Vrmse 63.778 | VexpVar 0.799 | adv_std 63.763 | elapsed 29.68s
iter 00334 | success 0.625 | policy_loss -0.00008 | value_loss 2083.79610 | Vmean -219.809 | Rmean -221.439 | Vrmse 63.337 | VexpVar 0.800 | adv_std 63.316 | elapsed 31.29s
iter 00335 | success 0.634 | policy_loss -0.00006 | value_loss 2113.49179 | Vmean -220.549 | Rmean -221.879 | Vrmse 64.352 | VexpVar 0.790 | adv_std 64.338 | elapsed 30.79s
iter 00336 | success 0.616 | policy_loss -0.00006 | value_loss 2087.52736 | Vmean -225.129 | Rmean -222.113 | Vrmse 64.216 | VexpVar 0.794 | adv_std 64.145 | elapsed 31.63s
iter 00337 | success 0.613 | policy_loss -0.00006 | value_loss 2093.34230 | Vmean -224.128 | Rmean -221.394 | Vrmse 64.113 | VexpVar 0.799 | adv_std 64.055 | elapsed 30.84s
iter 00338 | success 0.632 | policy_loss 0.00000 | value_loss 2052.04856 | Vmean -225.517 | Rmean -222.711 | Vrmse 63.044 | VexpVar 0.801 | adv_std 62.982 | elapsed 29.98s
iter 00339 | success 0.615 | policy_loss -0.00007 | value_loss 2104.74760 | Vmean -222.578 | Rmean -220.897 | Vrmse 63.975 | VexpVar 0.802 | adv_std 63.953 | elapsed 27.85s
iter 00340 | success 0.619 | policy_loss -0.00012 | value_loss 2025.80548 | Vmean -221.504 | Rmean -219.934 | Vrmse 63.014 | VexpVar 0.810 | adv_std 62.995 | elapsed 30.74s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_340.pt
iter 00341 | success 0.627 | policy_loss -0.00007 | value_loss 1980.51707 | Vmean -223.354 | Rmean -220.444 | Vrmse 62.504 | VexpVar 0.813 | adv_std 62.436 | elapsed 32.71s
iter 00342 | success 0.634 | policy_loss -0.00007 | value_loss 1975.85973 | Vmean -222.660 | Rmean -220.838 | Vrmse 62.399 | VexpVar 0.812 | adv_std 62.372 | elapsed 28.55s
iter 00343 | success 0.634 | policy_loss -0.00012 | value_loss 1937.83533 | Vmean -220.569 | Rmean -220.734 | Vrmse 61.696 | VexpVar 0.815 | adv_std 61.695 | elapsed 29.45s
iter 00344 | success 0.633 | policy_loss -0.00008 | value_loss 1955.91167 | Vmean -219.114 | Rmean -220.726 | Vrmse 62.052 | VexpVar 0.811 | adv_std 62.031 | elapsed 29.62s
iter 00345 | success 0.623 | policy_loss -0.00011 | value_loss 1993.74202 | Vmean -221.580 | Rmean -220.834 | Vrmse 62.404 | VexpVar 0.812 | adv_std 62.400 | elapsed 30.54s
iter 00346 | success 0.621 | policy_loss -0.00010 | value_loss 2027.94276 | Vmean -223.612 | Rmean -221.118 | Vrmse 63.226 | VexpVar 0.808 | adv_std 63.177 | elapsed 30.79s
iter 00347 | success 0.627 | policy_loss 0.00114 | value_loss 1992.92999 | Vmean -222.695 | Rmean -220.706 | Vrmse 62.656 | VexpVar 0.810 | adv_std 62.625 | elapsed 31.09s
iter 00348 | success 0.630 | policy_loss 0.00483 | value_loss 1970.38590 | Vmean -225.617 | Rmean -221.450 | Vrmse 62.392 | VexpVar 0.811 | adv_std 62.253 | elapsed 30.23s
iter 00349 | success 0.608 | policy_loss 0.00024 | value_loss 2186.16853 | Vmean -223.990 | Rmean -218.321 | Vrmse 65.708 | VexpVar 0.803 | adv_std 65.463 | elapsed 29.24s
iter 00350 | success 0.611 | policy_loss -0.00006 | value_loss 2241.72563 | Vmean -220.515 | Rmean -216.675 | Vrmse 65.732 | VexpVar 0.805 | adv_std 65.620 | elapsed 33.94s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_350.pt
